// Cash Shop Database
// Contains the items sold in the ingame cash shop.
//
// Structure of Database:
// Type,ItemID,Price
//
// Type:
//    0: New
//    1: Hot
//    2: Limited
//    3: Rental
//    4: Gear
//    5: Buff
//    6: Heal
//    7: Other
//    8: Sale
//
// Price:
//    Item cost, in cash points (#CASHPOINTS).
4,19500,1
4,19501,1
4,19502,1
4,19503,1
4,19504,1
4,19505,1
4,19506,1
4,19507,1
4,19508,1
4,19509,1
4,19510,1
4,19511,1
4,19512,1
4,19513,1
4,19514,1
4,19515,1
4,19516,1
4,19517,1
4,19518,1
4,19519,1
4,19520,1
4,19521,1
4,19522,1
4,19523,1
4,19524,1
4,19525,1
4,19526,1
4,19527,1
4,19528,1
4,19529,1
4,19530,1
4,19531,1
4,19532,1
4,19533,1
4,19534,1
4,19535,1
4,19536,1
4,19537,1
4,19538,1
4,19539,1
4,19540,1
4,19541,1
4,19542,1
4,19543,1
4,19544,1
4,19545,1
4,19546,1
4,19547,1
4,19548,1
4,19549,1
4,19550,1
4,19551,1
4,19552,1
4,19553,1
4,19554,1
4,19555,1
4,19556,1
4,19557,1
4,19558,1
4,19559,1
4,19560,1
4,19561,1
4,19562,1
4,19563,1
4,19564,1
4,19565,1
4,19566,1
4,19567,1
4,19568,1
4,19569,1
4,19570,1
4,19571,1
4,19572,1
4,19573,1
4,19574,1
4,19575,1
4,19576,1
4,19577,1
4,19578,1
4,19579,1
4,19580,1
4,19581,1
4,19582,1
4,19583,1
4,19584,1
4,19585,1
4,19586,1
4,19587,1
4,19588,1
4,19589,1
4,19590,1
4,19591,1
4,19592,1
4,19593,1
4,19594,1
4,19595,1
4,19596,1
4,19597,1
4,19598,1
4,19599,1
4,19600,1
4,19601,1
4,19602,1
4,19603,1
4,19604,1
4,19605,1
4,19606,1
4,19607,1
4,19608,1
4,19609,1
4,19610,1
4,19611,1
4,19612,1
4,19613,1
4,19614,1
4,19615,1
4,19616,1
4,19617,1
4,19618,1
4,19619,1
4,19620,1
4,19621,1
4,19622,1
